"Id","5ff96e96938aa0181b987926","5ff96e96938aa0181b987927","5ff97189938aa0181b9aedac","5ff96e96938aa0181b987929","5ff96e96938aa0181b987928","5ffc37c1938aa0181bf3d191","5ffc37c1938aa0181bf3d194","5ffc37c1938aa0181bf3d188","5ffc37c1938aa0181bf3d185","5ffc37c1938aa0181bf3d182","5ffc37c1938aa0181bf3d18e","5ffc37c1938aa0181bf3d18b","5ffc36be938aa0181bf2ec06","5ffc36be938aa0181bf2ec09","5ffc36be938aa0181bf2ebfd"
"Timestamp","reec56/BEWACO 2021/Trạm 1: Bộ chỉ huy Bộ đội biên phòng/WaterLog Logger/WQData - Batt volt","reec56/BEWACO 2021/Trạm 1: Bộ chỉ huy Bộ đội biên phòng/WaterLog Logger/WQData - PTemp","reec56/BEWACO 2021/Trạm 1: Bộ chỉ huy Bộ đội biên phòng/WaterLog Logger/WQData - Salt","reec56/BEWACO 2021/Trạm 1: Bộ chỉ huy Bộ đội biên phòng/WaterLog Logger/WQData - SpCond","reec56/BEWACO 2021/Trạm 1: Bộ chỉ huy Bộ đội biên phòng/WaterLog Logger/WQData - Temp","reec56/BEWACO 2021/Trạm 2: Cống sông Mã/Campbell PakBus Logger/WQData - Batt volt","reec56/BEWACO 2021/Trạm 2: Cống sông Mã/Campbell PakBus Logger/WQData - PTemp","reec56/BEWACO 2021/Trạm 2: Cống sông Mã/Campbell PakBus Logger/WQData - Salt","reec56/BEWACO 2021/Trạm 2: Cống sông Mã/Campbell PakBus Logger/WQData - SpCond","reec56/BEWACO 2021/Trạm 2: Cống sông Mã/Campbell PakBus Logger/WQData - Temperature","reec56/BEWACO 2021/Trạm 2: Cống sông Mã/Campbell PakBus Logger/WQData - Wiper cur","reec56/BEWACO 2021/Trạm 2: Cống sông Mã/Campbell PakBus Logger/WQData - Wiper pos","reec56/BEWACO 2021/Trạm 3: Trạm cấp nước An Hóa/Campbell PakBus Logger/WQData - Batt volt","reec56/BEWACO 2021/Trạm 3: Trạm cấp nước An Hóa/Campbell PakBus Logger/WQData - PTemp","reec56/BEWACO 2021/Trạm 3: Trạm cấp nước An Hóa/Campbell PakBus Logger/WQData - Salt"
"Units","V","°C","ppt","mS","°C","V","°C","ppt","ms/cm","°C","mA","V","V","°C","ppt"
2021-01-09 18:00:00,12.48,22.75,,,,,,,,,,,,,
2021-01-11 08:20:00,,,,,,,,,,,,,,,
2021-01-11 08:30:00,12.48,26.25,,,,,,,,,,,,,
2021-01-11 08:40:00,,,,,,,,,,,,,,,
2021-01-11 08:50:00,12.46,27.75,,,,,,,,,,,,,
2021-01-11 09:00:00,12.38,28.5,,,,,,,,,,,,,
2021-01-11 09:10:00,12.4,29,,,,,,,,,,,,,
2021-01-11 09:20:00,12.5,27,,,,,,,,,,,,,
2021-01-11 09:30:00,12.48,26.5,,,,,,,,,,,,,
2021-01-11 09:40:00,12.54,26.25,,,,,,,,,,,,,
2021-01-11 09:50:00,12.57,25.75,,,,,,,,,,,,,
2021-01-11 10:00:00,12.48,25.5,,,,,,,,,,,,,
2021-01-11 10:10:00,12.48,25.5,,,,,,,,,,,,,
2021-01-11 10:20:00,12.5,25.5,,,,,,,,,,,,,
2021-01-11 10:30:00,12.48,25.25,,,,,,,,,,,,,
2021-01-11 10:40:00,12.46,25.25,,,,,,,,,,,,,
2021-01-11 10:50:00,12.48,25.25,,,,,,,,,,,,,
2021-01-11 11:00:00,12.5,25.25,,,,,,,,,,,,,
2021-01-11 11:10:00,12.48,25.25,,,,,,,,,,,,,
2021-01-11 11:20:00,12.48,25.25,,,,,,,,,,,,,
2021-01-11 11:30:00,12.46,25.25,,,,,,,,,,,,,
2021-01-11 11:40:00,12.47,25.5,,,,,,,,,,,,,
2021-01-11 11:50:00,12.43,26,,,,,,,,,,,,,
2021-01-11 12:00:00,12.46,26.5,,,,,,,,,,,,,
2021-01-11 12:10:00,12.49,26.25,,,,,,,,,,,,,
2021-01-11 12:20:00,12.48,26,,,,,,,,,,,,,
2021-01-11 12:30:00,12.5,25.75,,,,,,,,,,,,,
2021-01-11 12:40:00,12.47,25.75,,,,,,,,,,,,,
2021-01-11 12:50:00,12.46,25.5,,,,,,,,,,,,,
2021-01-11 13:00:00,12.5,25.25,,,,,,,,,,,,,
2021-01-11 13:10:00,12.5,25.25,,,,,,,,,,,,,
2021-01-11 13:20:00,12.48,25.25,,,,,,,,,,,,,
2021-01-11 13:30:00,12.46,25.25,,,,,,,,,,,,,
2021-01-11 13:40:00,12.46,25.25,,,,,,,,,,,,,
2021-01-11 13:50:00,12.46,25.25,,,,,,,,,,,,,
2021-01-11 14:00:00,12.46,25.25,,,,,,,,,,,,,
2021-01-11 14:10:00,12.53,25.5,,,,,,,,,,,,,
2021-01-11 14:20:00,12.48,25.25,,,,,,,,,,,,,
2021-01-11 14:30:00,12.46,25.25,,,,,,,,,,,,,
2021-01-11 14:40:00,12.46,25.5,,,,,,,,,,,,,
2021-01-11 14:50:00,12.46,25.5,,,,,,,,,,,,,
2021-01-11 15:00:00,12.46,25.5,,,,,,,,,,,,,
2021-01-11 15:10:00,12.46,25.75,,,,,,,,,,,,,
2021-01-11 15:20:00,12.46,25.5,,,,,,,,,,,,,
2021-01-11 15:30:00,12.5,25.5,,,,,,,,,,,,,
2021-01-11 18:23:30,,,,,,,,,,,,,12.2,32.79,
2021-01-11 18:30:00,,,,,,11.71,32.85,,13.86,25.62,33.01,1.39,12.17,34.15,
